filename,nloc,ccn,token_count,param_count,length,top_nesting_level
636766a91a6d9265ec0175c2.java,22,6,129,3,22,1
6367675d1a6d9265ec018082.java,23,8,130,6,23,1
636766a91a6d9265ec0175ae.java,34,11,210,4,38,1
636766821a6d9265ec0174bf.java,12,4,101,2,13,1
636766f01a6d9265ec01763e.java,16,5,111,2,18,1
636766f81a6d9265ec017748.java,12,4,79,2,12,1
636766fa1a6d9265ec0177a9.java,15,4,81,2,15,1
636767781a6d9265ec018242.java,11,3,50,2,11,1
636767041a6d9265ec0178f8.java,15,5,128,2,17,1
636767601a6d9265ec0180e2.java,19,5,140,4,23,2
636766a81a6d9265ec017586.java,18,6,101,2,18,1
6367677e1a6d9265ec01830f.java,16,1,117,1,27,1
636767a31a6d9265ec01854f.java,14,4,49,0,21,1
6367667d1a6d9265ec0173ff.java,20,7,94,3,25,1
636766a91a6d9265ec0175c1.java,10,3,58,2,10,1
636767dc1a6d9265ec0186be.java,16,2,176,3,25,1
636767191a6d9265ec017c0f.java,25,6,153,3,25,1
636766fe1a6d9265ec01782a.java,13,3,130,3,15,1
636767021a6d9265ec0178bb.java,14,4,115,2,15,1
636767a41a6d9265ec018572.java,21,6,109,1,21,1
636767461a6d9265ec017d17.java,16,3,97,2,16,1
636767551a6d9265ec017f3f.java,18,8,141,4,18,1
636767691a6d9265ec0181ac.java,11,2,75,3,11,1
636767531a6d9265ec017efb.java,35,12,162,3,36,1
636767521a6d9265ec017ecc.java,38,8,254,6,38,1
636767041a6d9265ec017911.java,5,2,22,1,5,1
636767001a6d9265ec01787e.java,15,4,82,2,15,1
636766f71a6d9265ec017730.java,9,2,55,1,9,1
636767a41a6d9265ec01857e.java,10,4,91,3,10,1
636767a41a6d9265ec01856c.java,15,6,131,4,16,1
636766861a6d9265ec017553.java,4,1,38,1,7,0
6367667e1a6d9265ec01743a.java,14,4,76,1,15,1
636767df1a6d9265ec01873c.java,8,2,48,2,9,1
636767e11a6d9265ec018781.java,13,4,58,3,14,2
636767ab1a6d9265ec01867b.java,19,6,135,5,20,1
636766821a6d9265ec0174b3.java,15,5,101,2,19,1
636766ff1a6d9265ec01784b.java,17,6,112,2,17,1
6367676b1a6d9265ec0181ee.java,15,5,97,2,15,1
6367670a1a6d9265ec0179e8.java,11,5,77,2,11,1
6367675f1a6d9265ec0180d3.java,16,5,92,2,19,1
636767821a6d9265ec0183ab.java,15,5,99,2,16,1
636767031a6d9265ec0178dd.java,10,3,54,2,10,1
636766ae1a6d9265ec0175dc.java,12,3,80,2,13,1
636766ae1a6d9265ec0175d8.java,11,2,69,1,13,1
636766f11a6d9265ec01764f.java,9,3,52,2,9,1
6367667f1a6d9265ec017458.java,11,3,50,1,11,1
636766821a6d9265ec0174c9.java,15,4,120,1,17,1
6367667f1a6d9265ec01745c.java,22,7,161,3,23,1
636767aa1a6d9265ec01865a.java,24,6,116,4,26,1
636767511a6d9265ec017eb0.java,14,4,89,2,14,1
636767021a6d9265ec0178bc.java,12,4,99,3,13,1
636767e01a6d9265ec018764.java,17,5,85,3,17,1
636767841a6d9265ec0183ff.java,39,6,286,4,48,1
636767001a6d9265ec017873.java,11,3,79,2,11,1
636766ef1a6d9265ec01761a.java,18,4,124,2,18,1
6367676b1a6d9265ec0181e2.java,11,5,51,2,13,1
6367670b1a6d9265ec0179ff.java,14,4,116,2,15,1
636766f61a6d9265ec017701.java,13,4,113,3,14,1
636767dc1a6d9265ec0186cb.java,13,4,86,1,14,1
6367676c1a6d9265ec018223.java,11,5,48,2,11,1
636767631a6d9265ec018171.java,21,5,107,2,24,1
636766ff1a6d9265ec017853.java,6,2,41,2,6,1
636766f11a6d9265ec017641.java,13,4,65,1,13,1
6367667c1a6d9265ec0173fb.java,4,1,21,1,6,1
636766821a6d9265ec0174d2.java,5,1,25,1,10,1
6367676b1a6d9265ec0181dd.java,18,5,113,3,21,1
636766831a6d9265ec0174eb.java,11,5,76,2,13,1
636767e01a6d9265ec018755.java,7,2,54,1,9,0
636767df1a6d9265ec018744.java,29,7,137,4,32,2
6367667d1a6d9265ec017401.java,53,14,232,2,56,1
636766811a6d9265ec017496.java,15,4,82,1,15,1
6367670a1a6d9265ec0179d9.java,7,3,54,2,7,1
636767641a6d9265ec01817d.java,12,5,121,2,16,1
636767641a6d9265ec018190.java,12,4,104,3,21,1
636767611a6d9265ec018112.java,15,4,73,0,25,0
636767561a6d9265ec017f63.java,23,6,115,1,23,1
6367676b1a6d9265ec0181e9.java,17,8,132,4,19,1
636766f91a6d9265ec01777f.java,8,3,63,2,8,1
636767131a6d9265ec017b23.java,14,4,76,2,14,1
636767a81a6d9265ec0185fc.java,10,3,44,1,10,1
636767e11a6d9265ec018790.java,44,13,244,6,49,1
6367674f1a6d9265ec017e74.java,32,8,200,2,32,1
636767de1a6d9265ec018706.java,34,8,240,6,41,2
6367676c1a6d9265ec018204.java,28,11,197,3,34,1
6367676a1a6d9265ec0181bf.java,11,3,70,2,11,1
636767041a6d9265ec01790f.java,17,5,124,2,20,1
636766aa1a6d9265ec0175ce.java,13,3,80,6,13,2
636767de1a6d9265ec018726.java,24,5,147,3,28,1
636766f21a6d9265ec01767d.java,8,3,65,2,9,1
636767861a6d9265ec01844c.java,19,6,95,2,19,1
636766a81a6d9265ec017596.java,20,6,140,2,20,1
636766a81a6d9265ec01757b.java,25,7,135,6,28,2
636766ff1a6d9265ec017842.java,20,6,139,2,21,1
636767501a6d9265ec017e86.java,10,3,46,1,10,1
636766ff1a6d9265ec01783b.java,23,6,172,4,23,1
636767791a6d9265ec018257.java,8,1,44,1,12,1
636767691a6d9265ec0181ae.java,21,5,150,2,26,1
636766fb1a6d9265ec0177c3.java,11,2,94,2,11,1
6367667f1a6d9265ec01745d.java,31,9,163,4,37,2
6367677b1a6d9265ec0182bd.java,11,2,144,1,14,1
6367677f1a6d9265ec01834b.java,15,5,71,3,16,2
6367676c1a6d9265ec01820b.java,18,6,112,3,19,1
636767831a6d9265ec0183c9.java,9,5,54,1,9,1
636767aa1a6d9265ec01864a.java,16,4,105,1,17,1
636767601a6d9265ec0180fd.java,8,2,67,3,12,1
636767511a6d9265ec017eb6.java,21,8,113,5,25,1
636767781a6d9265ec018250.java,3,1,12,1,6,1
6367670b1a6d9265ec017a05.java,15,5,131,1,15,2
636766f11a6d9265ec017651.java,11,5,77,2,11,1
6367671a1a6d9265ec017c15.java,34,11,210,4,38,1
636766fa1a6d9265ec017796.java,17,5,115,2,17,1
636767561a6d9265ec017f7c.java,43,5,240,2,52,1
636767071a6d9265ec017962.java,10,4,55,1,15,1
636767871a6d9265ec01846d.java,18,4,113,1,19,1
636767021a6d9265ec0178b2.java,23,7,170,2,29,1
636766fe1a6d9265ec017821.java,13,4,96,3,13,0
6367670c1a6d9265ec017a35.java,20,8,191,4,21,1
6367670a1a6d9265ec0179d8.java,11,4,59,2,14,1
636766f31a6d9265ec01768f.java,19,5,126,2,21,1
636766801a6d9265ec017487.java,17,4,104,2,18,1
6367670a1a6d9265ec0179dc.java,14,6,111,4,19,1
636767a21a6d9265ec018517.java,20,5,121,2,20,1
